y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
44.6,717,28,4.14,8.7174087,65,420,27.5,43,69,6.44,68,30.3,444.76575,129432,9,9,0.406,9.3
75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,39113313,6,5.8,0.741,14.4
81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9
59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9
81.4,62,0,7.3,682.1070608,92.9626012022595,3,56.9,0,98,9.94,98,0.1,4627.592,9298515,1.3,1.3,0.898,15.8
62.2,263,1,0.52,217.2125786,81,709,33.2,2,81,8.95,81,1.9,1536.15685,881185,5.6,5.5,0.46,6.3
71.9,123,5,0.01,285.6103912,88,0,49.7,6,92,5.37,89,0.1,7496.335728,9295784,2.8,2.8,0.742,11.8
82.3,57,0,10.01,2198.590865,91.4711933478036,77,55.4,0,96,11.7,95,0.1,74276.71842,782499,0.5,0.4,0.92,15.4
69.3,198,9,3.93,0,95,0,49.9,11,95,5.49,95,0.2,92.6737581503716,5.49986558862762,1.2,1.1,0.649,13.8
89,71,0,9.62,6664.148708,9,43,64.8,0,93,11.2,93,0.1,33691.34837,11244.6824129357,0.3,0.3,0.899,20.3
56,344,48,4.56,23.1016899,60.1792534465998,4174,12.5,93,62,4.85,62,3.6,235.4912324,11944587,11.2,1.8,0,3.5
66.5,188,182,0.06,33.95837125,62,3825,16,229,77,2.23,76,0.1,747.9817455,2145652,11,11.1,0.604,10.6
63,242,39,0.04,0,78,8079,34.5,51,78,4.82,78,0.1,101.215875211551,4065.09809586341,13.9,13.8,0.475,8.7
68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
65.1,21,0,0.46,167.6201552,83,0,74.1,0,74,12.23,82,0.1,1413.3234,9844,0.2,0.1,0.572,11.6
69.8,172,54,0.24,0,97,668,55.5,65,97,4.82,97,0.1,85.0818925417616,366.50736818705,3.1,3,0.651,11.9
62.4,249,37,3.01248671794872,0,88,23,28.6,52,88,6.15023344003807,88,0.7,1361.11395,27582821,6.2,6.1,0.575,11.4
77.5,14,0,11.14,2503.714258,89.6894892192495,0,54.1,0,95,8.5,95,0.1,18169.1891,2474,1.9,2,0.853,16.3
81.1,72,2,9.34,0,99,42,3,2,98,6.83,99,0.1,54.0823048693751,22.0004887686268,1.5,1,5.60927099314202,6.02544161557318
61.8,251,64,2.01,128.6362711,78,129,25.0610504940134,95,85,8.17,86,0.3,1291.528826,32955496,4.51348289498513,4.51878687349158,0.444,6.3
78.5,9,3,11.92,582.6157028,9,779,56.6,4,96,1.62,97,0.1,3359.95215,82534176,1.1,1.1,0.872,16.3
75.3,125,8,0.01,973.728675,88,0,54.9,10,78,5.47,88,0.1,6491.5245,3973354,1.1,1.1,0.735,13.4
69.4,173,0,1.2,27.29839073,64,165,43.3,0,67,4.2,69,0.1,158.52724,198964,1.6,1.6,0,10.4
72.3,178,7,6.2,352.9551269,84,0,49.3,8,88,4.34,89,1.8,3836.468771,9371338,3.5,3.4,0.677,12.6
77.5,8,0,5.59,134.3547253,88.9929469781495,2,62.3,0,94,6.83,94,0.1,1139.5651,3987,0.8,0.7,0.779,13.8
74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,495.254866,3486715,6,5.9,0.697,12.6
77,174,3,0.01,0,97,1,43,4,97,6.68,97,0.1,85.7145336786204,2.49996334235299,3.3,3.3,0.647,12.5
62,329,6,1.23,11.42385961,91,55,14.7,9,91,3.29,91,1.3,317.3294336,4153332,9.2,9.2,0.405,5.3
53.1,356,46,3.90658085967863,0,46,418,19.1,77,52,8.45023344003807,46,2.8,777.248751,149413,8.5,8.4,0.394,7.3
72.7,135,24,0.02,0,99,127,51.4,28,99,6.28,99,0.1,74.0105006804281,77.5012097023514,7.6,7.8,0.716,12.1
58.6,33,22,0.01,40.15128458,96,0,17.6,32,96,8.3,96,1,282.7555252,96186,7.4,7.4,0.398,10.5
64.9,321,19,11.5,46.51559476,96,2444,55,21,98,5.19,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6
80,8,0,11.53,18961.3486,94,1,58.4,0,96,7.34,99,0.1,114293.8433,48865,0.9,0.9,0.887,13.5
82.3,64,1,1.5,0,98,7,31.7,2,98,1.25116720019037,98,0.1,51.2355057366625,4.50006109607835,1.5,1,0.1,1
69.2,184,16,0.01,0.442802404,99,8,43.9,18,99,5.84,99,0.1,25.448414,37577,3,3.1,0.69,12.1
54,429,82,1.54,46.58195631,76,9396,18.1,120,69,5.91,83,15.9,336.3318145,231275,3.9,3.8,0.332,7
81.3,61,0,6.21,2094.19096,90.8426287030696,4,59.8,0,95,9.16,95,0.1,11563.727,518573,0.7,0.7,0.941,17.6
74,125,0,0.484467852015954,0,59,0,74.7,0,61,0.150233440038075,66,0.1,4149.363444,193759,0.2,0.1,0.702,12.9
81,78,4,10.79,0,89.3585068931997,1212,63.1,4,93,9.81,93,0.1,54.0828207682875,608.01476081253,0.8,0.5,7.12046111819574,7.5283847645634
76.9,115,1,3.92,49.34007756,98,0,49.4,1,98,6.7,95,0.1,2741.11542,914.03026631065,3.6,3.4,0.679,12.1
44,67,46,1.1,3.885394742,64,92,14.8,75,79,4.82,64,24.7,29.9798977,1213711,7.7,7.6,0.388,10.4
74.2,113,0,8.47,1641.30981,93,0,48.4,0,93,5.64,93,0.1,16462.48556,5487.44593718604,3.9,3.9,0.771,15
48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687,9.6,9.6,0.454,7.7
45.7,44,97,2.58,30.35993647,41.3119454010321,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266,1.7,1.7,0.391,5.1
82,68,1,9.53,9689.732784,92.4481336164996,10,57.3,1,97,9.36,97,0.1,51241.31562,16381696,1,1,0.899,16.6
66.6,177,16,2.53,0,75.0997535809631,0,25.7,21,98,4.61085041259072,62,0.1,75.5952848992015,10.4997433964709,5.9,6,1.38633361082482,4.12410019802623
79.2,77,1,9.56,5170.130703,92.2949941326795,11,55,1,98,8.52,98,0.1,39954.64222,16281779,1,1,0.885,16.5
