x1,x2,x3,x4,x5,x6,x7,x8,x9,y
23,1,28.0,1,< 1 Year,No,56817.0,152.0,288,0
65,1,28.0,1,1-2 Year,No,40030.0,122.0,257,0
52,1,28.0,1,1-2 Year,No,52790.0,124.0,99,0
26,1,28.0,1,< 1 Year,No,38944.0,152.0,146,0
36,1,28.0,0,1-2 Year,Yes,46310.0,26.0,249,0
49,1,24.0,0,1-2 Year,Yes,32256.0,154.0,290,0
23,1,15.0,1,< 1 Year,No,2630.0,152.0,265,0
54,1,41.0,0,1-2 Year,Yes,41577.0,31.0,61,1
34,1,28.0,0,1-2 Year,Yes,2630.0,156.0,249,1
22,1,24.0,0,< 1 Year,Yes,2630.0,152.0,228,0
27,1,28.0,1,< 1 Year,No,2630.0,152.0,221,0
40,1,28.0,0,1-2 Year,Yes,38258.0,158.0,153,1
62,1,8.0,1,1-2 Year,No,66633.0,124.0,153,0
46,1,46.0,1,1-2 Year,No,29049.0,124.0,71,0
43,1,28.0,0,1-2 Year,Yes,43999.0,26.0,50,0
23,1,46.0,1,< 1 Year,No,34585.0,152.0,188,0
25,1,20.0,0,< 1 Year,No,2630.0,152.0,156,0
48,1,24.0,0,1-2 Year,Yes,39316.0,124.0,257,0
47,1,28.0,0,1-2 Year,No,44647.0,24.0,153,0
25,1,28.0,1,< 1 Year,No,50230.0,152.0,66,0
23,1,3.0,1,< 1 Year,No,29243.0,152.0,128,0
25,1,21.0,1,< 1 Year,No,34886.0,152.0,216,0
23,1,15.0,1,< 1 Year,No,28270.0,152.0,98,0
26,1,37.0,1,< 1 Year,No,30990.0,152.0,259,0
25,1,35.0,0,< 1 Year,Yes,30268.0,152.0,282,0
60,1,44.0,0,1-2 Year,Yes,31746.0,30.0,44,0
21,1,2.0,0,< 1 Year,Yes,13291.0,160.0,102,0
49,1,28.0,0,1-2 Year,Yes,37796.0,26.0,19,0
59,1,24.0,0,1-2 Year,Yes,2630.0,163.0,133,0
44,1,50.0,0,1-2 Year,Yes,33118.0,26.0,193,1
23,1,8.0,1,< 1 Year,No,36585.0,152.0,258,0
42,1,46.0,0,1-2 Year,Yes,27583.0,91.0,125,1
64,1,47.0,0,> 2 Years,Yes,49910.0,157.0,82,0
56,1,3.0,0,1-2 Year,Yes,21924.0,163.0,206,0
30,1,28.0,1,< 1 Year,No,55152.0,152.0,273,0
31,1,36.0,0,< 1 Year,Yes,32332.0,152.0,124,1
24,1,28.0,0,< 1 Year,Yes,2630.0,160.0,37,0
24,1,2.0,1,< 1 Year,No,19729.0,152.0,261,0
33,1,3.0,1,< 1 Year,No,62052.0,152.0,286,0
27,1,30.0,1,< 1 Year,No,24859.0,152.0,41,0
23,1,15.0,1,< 1 Year,No,39338.0,152.0,133,0
21,1,34.0,1,< 1 Year,Yes,2630.0,152.0,214,0
26,1,13.0,1,< 1 Year,No,2630.0,152.0,271,0
23,1,47.0,0,< 1 Year,Yes,30611.0,152.0,155,0
21,1,45.0,0,1-2 Year,Yes,32638.0,26.0,176,1
20,1,8.0,1,< 1 Year,No,48648.0,160.0,79,0
23,1,30.0,1,< 1 Year,No,29451.0,152.0,183,0
20,1,8.0,1,< 1 Year,No,27901.0,160.0,221,0
52,1,11.0,1,1-2 Year,No,27003.0,152.0,15,0
47,1,28.0,0,1-2 Year,Yes,46756.0,124.0,113,0
25,1,6.0,1,< 1 Year,No,33607.0,152.0,214,0
25,1,41.0,0,< 1 Year,Yes,21764.0,124.0,56,1
37,1,24.0,0,1-2 Year,Yes,31417.0,157.0,129,0
38,1,15.0,0,1-2 Year,Yes,37053.0,124.0,38,0
57,1,18.0,1,1-2 Year,No,2630.0,26.0,20,0
52,1,46.0,1,1-2 Year,No,27667.0,152.0,264,0
21,1,47.0,1,< 1 Year,Yes,42216.0,152.0,89,0
49,1,7.0,1,1-2 Year,No,30339.0,124.0,42,0
39,1,28.0,0,1-2 Year,Yes,29535.0,26.0,211,0
42,1,28.0,1,1-2 Year,No,28639.0,152.0,60,0
30,1,47.0,1,1-2 Year,No,41144.0,29.0,72,0
48,1,28.0,0,1-2 Year,Yes,49214.0,26.0,132,0
44,1,28.0,1,1-2 Year,No,44772.0,124.0,121,0
61,1,27.0,0,1-2 Year,Yes,2630.0,156.0,150,1
25,1,43.0,0,< 1 Year,Yes,38925.0,152.0,77,0
44,1,20.0,0,> 2 Years,Yes,2630.0,124.0,234,1
78,1,30.0,0,1-2 Year,Yes,2630.0,26.0,121,0
23,1,46.0,1,< 1 Year,No,42164.0,152.0,28,0
26,1,37.0,0,< 1 Year,No,27114.0,152.0,249,0
54,1,28.0,0,1-2 Year,No,51816.0,26.0,230,0
23,1,11.0,1,< 1 Year,No,28308.0,152.0,120,0
47,1,8.0,0,1-2 Year,Yes,51329.0,26.0,245,1
34,1,30.0,0,1-2 Year,Yes,2630.0,156.0,39,0
25,1,28.0,0,< 1 Year,Yes,25638.0,124.0,130,0
24,1,2.0,0,< 1 Year,Yes,29434.0,151.0,97,0
44,1,28.0,0,1-2 Year,Yes,36453.0,26.0,134,0
22,1,39.0,1,< 1 Year,No,24108.0,152.0,273,0
40,1,8.0,0,1-2 Year,Yes,44197.0,26.0,160,0
